text,answer,prediction
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive,positive
$CTRP not a bad long chart now that it's through sma100 resistance.,positive,positive
"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive,positive
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive,positive
ARM Royalties Accelerate as Smartphone Market Regains Strength,positive,positive
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive,positive
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,negative
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive,positive
$YANG Double bottom 5.2,positive,neutral
Berkshire applies to boost Wells Fargo stake above 10 percent,positive,neutral
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,neutral
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive,neutral
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive,neutral
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,neutral
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",positive,positive
Priceline's stock jumps to new high for the year after Barclays upgrade,positive,positive
CompaniesUnilever sales lifted by ice cream in soft economy,positive,positive
$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,positive,positive
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive,positive
WPP boosts sales despite cautious clients,positive,positive
Amazon's grocery deal with Morrisons is only the beginning,positive,neutral
Insight hires Aviva's David Hillier for multi-asset team,positive,neutral
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,positive
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,positive
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,positive
longed $AMZN 300 @ 189.82,positive,neutral
AB InBev looks to win over SABMiller investors,positive,neutral
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,positive
$IACI http://stks.co/tJU Looks good on the weekly chart.,positive,positive
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,negative
$brcm raises revenue forecast,positive,positive
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",positive,positive
"$pcln back over ""up"" trendline from 10/4",positive,positive
@Vegastrader66 Looks like good entry for $QIHU here.,positive,positive
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive,neutral
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,neutral
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,positive
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,positive
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive,positive
"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",positive,positive
NYSE owner ICE considers offer for LSE,positive,neutral
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,neutral
$RDC Rowan Expands Share Repurchase Program to $150 million,positive,positive
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,neutral
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive,neutral
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,positive
Sophos aims to raise $100m in London IPO,positive,neutral
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive,positive
Johnson Matthey raises prospect of investor payout,positive,positive
"Britain's FTSE gains, Land Securities up after dividend hike",positive,positive
$FTI Breakout today after reporting earnings last night,positive,positive
FDA approves Shire's Vyvanse for binge-eating disorder,positive,positive
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,positive,positive
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,positive
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,positive
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,neutral
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive,positive
Retail giant Kingfisher reports 'solid' start to the year,positive,positive
Out of shorts $ALTR at 38.85 with loss,positive,negative
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,positive,positive
GSK joins China trade push as UK trumpets healthcare deals,positive,neutral
$AAPL  downgrade is bias. This stock is a buy.,positive,positive
RT @ACInvestorBlog $AAPL still on track for $500,positive,positive
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,positive
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,neutral
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive,neutral
Just went long $ILMN,positive,positive
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,positive,positive
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive,neutral
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,positive
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,positive
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,neutral
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive,neutral
$GOOG resistance turned support?  It,positive,neutral
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,positive
$LUV Continues to consolidate above previous break out area...,positive,neutral
"Went long on this $COG, will see 70's again me thinks",positive,positive
Britain's FTSE gets lift from Prudential results,positive,positive
Severn Trent share price rises as first half profit inches up as customer ...,positive,positive
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive,neutral
"Centrica extends gas deals with Gazprom, Statoil",positive,neutral
"$AAPL bounce right now has no vol, more vol when it slid",positive,neutral
ouch looks like $tsla shorts getting skinned again,positive,negative
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive,positive
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive,neutral
CompaniesActelion shares hit record on Shire takeover talk,positive,positive
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,positive,neutral
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive,positive
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,positive
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive,positive
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive,negative
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",positive,neutral
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive,positive
EasyJet attracts more passengers in June but still lags Ryanair,positive,neutral
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,positive,neutral
$LINE biggies must be loading up here at lows..,positive,positive
"$QCOR Just added 3,000 shares @28.",positive,neutral
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",positive,neutral
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,neutral
Bilfinger Industrial Services win Â£100m BP contract extension,positive,positive
Tesco breaks its downward slide by cutting sales decline in half,positive,positive
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive,positive
$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,positive,positive
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,neutral
$PCLN runs into the 50sma on the acquisition news,positive,positive
"News FeedSchroders books solid earnings growth, several board changes",positive,positive
"$DNN picked some up, like this going into 2014",positive,neutral
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,positive
$TZOO a close above 28.64 and we are ready to rock and roll,positive,positive
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",positive,neutral
$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,positive,positive
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,neutral
WPP wins race for 'programmatic buying' agency Essence Digital,positive,positive
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,positive
$FB popping up to HOD,positive,positive
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,positive
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",positive,positive
Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,positive,positive
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,positive,positive
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive,positive
"Britain's FTSE bounces back, Mondi and Barratt lead",positive,positive
"UK housing market steadies after Brexit dip, Persimmon says",positive,neutral
$KCG bot at 2.24,positive,neutral
Germanwings disaster will not affect image of budget air travel - easyJet,neutral,neutral
Tesco share price steady as analysts weigh in on results,neutral,neutral
$AAPL broke descending channel....will it hold?,neutral,neutral
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,neutral,negative
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,neutral,neutral
Royal Mail turnaround proving expensive in tough UK market,neutral,negative
CompaniesDiageo stays neutral on India boardroom turmoil,neutral,neutral
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral,neutral
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,neutral,neutral
Aviva shuts Friends Life head office in rapid integration move,neutral,neutral
"HSBC shakes up board with two new business chiefs, three departures",neutral,neutral
Credit Suisse poaches Prudential's Thiam for Asian push,neutral,neutral
CompaniesLSE adds ex-SEC head Schapiro to board,neutral,neutral
$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral,neutral
Barclays appoints JPMorgan's Paul Compton as new COO,neutral,neutral
Valeant Names Interim Leader as CEO Remains Hospitalized,neutral,neutral
AB InBev to sell more SAB assets as seeks EU deal approval,neutral,neutral
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,neutral
Greene King's third quarter sales boosted by festive season,positive,positive
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,neutral
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,negative
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive,positive
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,positive
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative,negative
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative,negative
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,positive
Irish housebuilder Cairn Homes plans London listing,positive,neutral
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,positive,neutral
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive,positive
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,negative
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,negative,negative
Verizon and AT&T accused of hurting rivals,negative,negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,neutral
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral,neutral
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive,neutral
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive,positive
$FB  rejecting HIGHS shortable...at 109,negative,neutral
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative,negative
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative,negative
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive,neutral
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive,positive
$NFLX +3% of the lows,positive,positive
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive,neutral
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive,neutral
RBS chairman admits surprise at size of regulatory penalties,negative,negative
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,positive,neutral
Long $ENDP @ $26.23 on $AGN b/o rumor,positive,neutral
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,negative
Morrisons finance chief to fill gap as CEO leaves early,negative,neutral
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral,negative
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive,positive
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative,negative
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative,negative
Standard Life share price: Insurer buys advice firm Pearson Jones,positive,neutral
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,neutral
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,neutral
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,positive
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,neutral
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive,positive
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive,positive
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,negative,negative
StanChart and RBS struggle in Bank of England stress tests,negative,negative
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,negative,negative
"$AMZN trades in mid to upper range. No break out yet, either direction",neutral,neutral
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",neutral,neutral
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral,neutral
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,positive,neutral
$SPY Long 1/2 position 137.89,positive,neutral
Germanwings disaster will not affect image of budget air travel - easyJet,neutral,neutral
$TSLA recall,negative,negative
Aviva weighs cash handout after beating profit forecast,positive,positive
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive,positive
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive,neutral
$MOS looking good here at $58.65. Calls are active in this month and weekly,positive,positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive,neutral
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast",negative,negative
Sanofi poaches AstraZeneca scientist as new research head,neutral,neutral
$vxx adding to position here !,positive,positive
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,positive
$GTE LONG at 7.44,positive,positive
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",positive,neutral
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive,positive
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,negative,positive
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive,neutral
Arm slammed by handset sales outlook,negative,negative
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,positive
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive,positive
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral,neutral
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive,neutral
"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",positive,neutral
Short more $FAZ for all who don't know that means markets will tank now :-p,negative,negative
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive,neutral
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral,neutral
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive,neutral
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive,neutral
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive,positive
$CHRM Loooooongggggg base,positive,negative
Tata Steel working with StanChart for UK unit sale - source,positive,neutral
$amzn breaking,positive,neutral
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative,neutral
Spain's CaixaBank Expects To Close Deal For Banco BPI,positive,neutral
FDA approves AstraZeneca drug for advanced lung cancer,positive,positive
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative,negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,neutral
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative,neutral
"CompaniesNew Aggreko CEO to reshape business, strip costs",positive,neutral
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,positive,neutral
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",positive,neutral
Petrofac share price rises despite Â£30m costs on North Sea project,neutral,neutral
RBS will reportedly appoint Howard Davies as its next chairman,neutral,neutral
Royal Mail share price edges lower as group raises stamp price,negative,negative
$EDU bouncing nicely after add-on (posted),positive,positive
Entertainment One dispels ITV takeover rumours,neutral,neutral
$NUGT Gold above 1400...wow,positive,neutral
$BBRY nice bounce,positive,positive
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive,positive
BG Group appoints new CEO one month early,neutral,neutral
Diageo Shares Surge on Report of Possible Takeover by Lemann,positive,positive
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive,neutral
$AAPL Good time to buy. Will the run come before earnings or after?,positive,positive
Passengers rise at EasyJet and Aer Lingus,positive,neutral
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative,positive
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive,positive
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive,negative
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive,positive
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive,positive
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative,negative
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",neutral,negative
$GPS Gap September Comparable Store Sales -4%,negative,negative
